TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,20.7,34.27,28.62,21.87,18.41,37.26,49.3,3.77
T_1,32.32,37.65,15.81,3.05,4.13,37.24,27.4,28.03
T_2,34.71,15.49,25.94,15.68,29.5,11.26,5.08,24.31
T_3,16.47,10.13,20.59,43.11,24.15,13.57,37.14,26.06
T_4,72.46,22.2,8.48,34.84,37.89,34.04,30.44,33.29
T_5,29.24,15.55,52.38,5.95,20.04,6.14,10.32,26.12
T_6,14.84,8.35,61.93,18.22,33.99,8.7,14.1,28.1
T_7,3.56,4.89,27.51,28.01,45.71,38.92,47.44,51.34
T_8,11.32,18.66,20.57,19.47,27.74,10.66,61.32,19.74
T_9,14.8,17.77,22.45,29.01,3.76,26.21,19.93,38.31
T_10,33.46,32.88,32.42,12.81,32.19,6.57,7.91,12.75
T_11,32.25,22.54,34.53,35.0,31.89,10.74,33.2,33.39
T_12,6.65,9.5,6.7,29.25,27.5,14.51,9.72,1.69
T_13,18.17,1.43,31.83,21.22,31.1,22.98,24.04,28.23
T_14,38.81,30.61,9.17,5.35,34.41,36.59,31.69,9.95
T_15,15.82,27.32,20.83,29.47,4.19,49.13,25.28,35.83
T_16,18.9,17.28,21.37,12.39,38.23,36.6,26.45,42.19
T_17,17.96,12.19,35.66,29.63,14.08,24.46,16.92,8.12
T_18,36.14,38.15,21.19,13.4,47.1,13.88,24.94,34.94
T_19,36.57,24.84,2.42,5.21,28.34,23.36,33.39,32.99
