TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15
T_0,17,36,29,39,26,35,37,35,47,43,34,34,40,40,32,43
T_1,30,31,37,49,32,43,46,44,46,42,33,33,39,39,31,42
T_2,26,38,22,41,27,37,39,37,30,27,22,22,25,26,20,27
T_3,25,37,30,28,26,36,38,36,39,35,28,28,33,33,26,35
T_4,22,32,27,35,16,31,34,32,16,15,12,12,14,14,11,15
T_5,13,19,16,21,14,13,20,19,12,11,9,9,10,11,8,11
T_6,30,44,37,49,32,43,32,44,20,18,14,14,17,17,13,18
T_7,13,19,16,21,14,18,20,13,42,39,30,31,36,36,29,39
T_8,10,14,12,16,10,14,15,14,8,10,8,8,9,10,8,10
T_9,20,30,25,33,22,29,31,30,25,16,18,18,21,21,17,23
T_10,8,11,9,12,8,11,12,11,20,18,10,14,17,17,13,18
T_11,21,31,26,34,22,30,32,31,12,11,9,6,10,11,8,11
T_12,16,23,19,26,17,23,24,23,25,23,18,18,15,21,17,23
T_13,11,16,13,17,11,15,16,15,10,9,7,7,8,6,7,9
T_14,13,19,16,21,14,18,20,19,32,29,23,23,27,28,15,30
T_15,25,37,30,40,26,36,38,36,37,34,27,27,31,32,25,24
T_16,29,42,35,46,30,41,44,42,14,12,10,10,12,12,9,13
T_17,20,41,34,45,30,40,43,41,46,42,33,33,39,39,31,42
T_18,18,19,22,29,19,26,28,26,35,32,25,25,29,30,24,32
T_19,23,34,20,38,25,34,36,34,42,39,30,31,36,36,29,39
T_20,10,14,12,11,10,14,15,14,39,35,28,28,33,33,26,35
T_21,8,11,9,12,6,11,12,11,30,27,22,22,25,26,20,27
T_22,12,18,15,19,13,12,19,18,26,24,19,19,22,22,18,24
T_23,26,38,31,41,27,37,28,37,46,42,33,33,39,39,31,42
T_24,7,10,8,11,7,10,10,7,11,10,8,8,9,10,8,10
T_25,15,22,18,24,16,22,23,22,35,45,36,36,42,43,34,46
T_26,12,18,15,19,13,17,19,18,47,30,34,34,40,40,32,43
T_27,8,11,9,12,8,11,12,11,24,22,12,17,20,20,16,22
T_28,15,22,18,24,16,22,23,22,21,19,15,11,18,18,14,19
T_29,6,9,7,10,6,9,9,9,14,12,10,10,8,12,9,13
T_30,20,29,24,32,21,28,30,28,40,36,29,29,34,24,27,36
T_31,23,33,27,36,24,32,35,33,47,43,34,34,40,40,22,43
T_32,8,12,10,13,9,12,13,12,35,32,25,25,29,30,24,22
T_33,28,41,34,45,30,40,43,41,30,27,22,22,25,26,20,27
T_34,15,31,26,34,22,30,32,31,45,41,32,32,38,38,30,41
T_35,26,26,31,41,27,37,39,37,50,45,36,36,42,43,34,46
T_36,23,34,20,38,25,34,36,34,26,24,19,19,22,22,18,24
T_37,18,27,22,20,19,26,28,26,40,36,29,29,34,34,27,36
T_38,16,23,19,26,12,23,24,23,46,42,33,33,39,39,31,42
T_39,28,41,34,45,30,28,43,41,11,10,8,8,9,10,8,10
T_40,7,10,8,11,7,10,7,10,17,16,13,13,15,15,12,16
T_41,30,44,37,49,32,43,46,31,44,40,31,32,37,37,29,40
T_42,29,42,35,46,30,41,44,42,28,36,29,29,34,34,27,36
T_43,14,21,17,23,15,21,22,21,35,22,25,25,29,30,24,32
T_44,13,19,16,21,14,18,20,19,20,18,10,14,17,17,13,18
T_45,8,12,10,13,9,12,13,12,29,26,21,15,24,24,19,26
T_46,24,36,29,39,26,35,37,35,20,18,14,14,12,17,13,18
T_47,29,42,35,46,30,41,44,42,37,34,27,27,31,22,25,34
T_48,21,31,26,34,22,30,32,31,10,9,7,7,8,9,5,9
T_49,18,27,22,29,19,26,28,26,35,32,25,25,29,30,24,22
T_50,27,40,33,44,29,39,42,39,37,34,27,27,31,32,25,34
T_51,21,44,37,49,32,43,46,44,30,27,22,22,25,26,20,27
T_52,16,16,19,26,17,23,24,23,29,26,21,21,24,24,19,26
T_53,24,36,21,39,26,35,37,35,29,26,21,21,24,24,19,26
T_54,28,41,34,32,30,40,43,41,35,32,25,25,29,30,24,32
T_55,7,10,8,11,5,10,10,10,12,11,9,9,10,11,8,11
T_56,11,16,13,17,11,11,16,15,27,25,20,20,23,23,19,25
T_57,26,39,32,43,28,38,28,38,12,11,9,9,10,11,8,11
T_58,24,36,29,39,26,35,37,25,35,32,25,25,29,30,24,32
T_59,21,31,26,34,22,30,32,31,32,42,33,33,39,39,31,42
T_60,12,18,15,19,13,17,19,18,35,22,25,25,29,30,24,32
T_61,17,26,21,28,18,25,27,25,31,28,16,23,26,27,21,29
T_62,12,18,15,19,13,17,19,18,39,35,28,20,33,33,26,35
T_63,23,33,27,36,24,32,35,33,42,39,30,31,25,36,29,39
T_64,6,9,7,10,6,9,9,9,30,27,22,22,25,18,20,27
T_65,21,31,26,34,22,30,32,31,41,37,30,30,35,35,19,38
T_66,23,33,27,36,24,32,35,33,22,20,16,16,19,19,15,14
T_67,18,27,22,29,19,26,28,26,36,33,26,26,30,31,24,33
T_68,12,26,21,28,18,25,27,25,34,31,24,24,28,29,23,31
T_69,17,18,21,28,18,25,27,25,35,32,25,25,29,30,24,32
T_70,21,31,18,34,22,30,32,31,39,35,28,28,33,33,26,35
T_71,8,11,9,9,8,11,12,11,39,35,28,28,33,33,26,35
T_72,17,24,20,27,12,24,26,24,30,27,22,22,25,26,20,27
T_73,8,11,9,12,8,8,12,11,25,23,18,18,21,21,17,23
T_74,21,31,26,34,22,30,23,31,20,18,14,14,17,17,13,18
T_75,28,41,34,45,30,40,43,28,50,45,36,36,42,43,34,46
T_76,21,31,26,34,22,30,32,31,30,39,30,31,36,36,29,39
T_77,19,28,23,30,20,27,29,27,30,19,22,22,25,26,20,27
T_78,23,34,28,38,25,34,36,34,17,16,9,13,15,15,12,16
T_79,26,38,31,41,27,37,39,37,40,36,29,20,34,34,27,36
T_80,18,27,22,29,19,26,28,26,11,10,8,8,7,10,8,10
T_81,25,37,30,40,26,36,38,36,50,45,36,36,42,30,34,46
T_82,14,20,16,22,14,19,21,20,47,43,34,34,40,40,22,43
T_83,22,32,27,35,23,31,34,32,21,19,15,15,18,18,14,14
T_84,20,30,25,33,22,29,31,30,44,40,31,32,37,37,29,40
T_85,15,31,26,34,22,30,32,31,26,24,19,19,22,22,18,24
T_86,23,24,28,38,25,34,36,34,10,9,7,7,8,9,7,9
T_87,23,34,20,38,25,34,36,34,27,25,20,20,23,23,19,25
T_88,18,27,22,20,19,26,28,26,19,17,13,14,16,16,13,17
T_89,15,22,18,24,11,22,23,22,16,15,12,12,14,14,11,15
T_90,12,18,15,19,13,12,19,18,10,9,7,7,8,9,7,9
T_91,30,44,37,49,32,43,32,44,35,32,25,25,29,30,24,32
T_92,26,38,31,41,27,37,39,26,37,34,27,27,31,32,25,34
T_93,18,27,22,29,19,26,28,26,18,24,19,19,22,22,18,24
T_94,11,16,13,17,11,15,16,15,36,23,26,26,30,31,24,33
T_95,24,36,29,39,26,35,37,35,45,41,23,32,38,38,30,41
T_96,7,10,8,11,7,10,10,10,10,9,7,5,8,9,7,9
T_97,30,44,37,49,32,43,46,44,26,24,19,19,15,22,18,24
T_98,29,42,35,46,30,41,44,42,12,11,9,9,10,7,8,11
T_99,13,19,16,21,14,18,20,19,14,12,10,10,12,12,6,13
T_100,26,39,32,43,28,38,41,38,15,14,11,11,13,13,10,10
T_101,16,23,19,26,17,23,24,23,25,23,18,18,21,21,17,23
T_102,4,9,7,10,6,9,9,9,24,22,17,17,20,20,16,22
T_103,17,17,20,27,18,24,26,24,21,19,15,15,18,18,14,19
T_104,11,17,10,18,12,16,17,16,19,17,13,14,16,16,13,17
T_105,10,14,12,11,10,14,15,14,15,14,11,11,13,13,10,14
T_106,6,9,7,10,4,9,9,9,49,44,35,35,41,42,33,44
T_107,21,31,26,34,22,21,32,31,36,33,26,26,30,31,24,33
T_108,23,33,27,36,24,32,24,33,20,18,14,14,17,17,13,18
T_109,16,23,19,26,17,23,24,16,22,20,16,16,19,19,15,21
T_110,22,32,27,35,23,31,34,32,9,11,9,9,10,11,8,11
T_111,27,40,33,44,29,39,42,39,39,25,28,28,33,33,26,35
T_112,6,9,7,10,6,9,9,9,24,22,12,17,20,20,16,22
T_113,16,23,19,26,17,23,24,23,16,15,12,8,14,14,11,15
T_114,8,11,9,12,8,11,12,11,12,11,9,9,7,11,8,11
T_115,8,12,10,13,9,12,13,12,45,41,32,32,38,27,30,41
T_116,9,13,11,15,10,13,14,13,29,26,21,21,24,24,14,26
T_117,15,22,18,24,16,22,23,22,40,36,29,29,34,34,27,26
T_118,14,21,17,23,15,21,22,21,21,19,15,15,18,18,14,19
T_119,9,19,16,21,14,18,20,19,16,15,12,12,14,14,11,15
T_120,11,12,14,18,12,16,17,16,47,43,34,34,40,40,32,43
T_121,9,13,8,15,10,13,14,13,16,15,12,12,14,14,11,15
T_122,29,43,36,33,31,42,45,43,47,43,34,34,40,40,32,43
T_123,22,32,27,35,16,31,34,32,46,42,33,33,39,39,31,42
T_124,12,18,15,19,13,12,19,18,47,43,34,34,40,40,32,43
T_125,14,20,16,22,14,19,15,20,17,16,13,13,15,15,12,16
T_126,8,11,9,12,8,11,12,8,30,27,22,22,25,26,20,27
T_127,23,34,28,38,25,34,36,34,10,12,10,10,12,12,9,13
T_128,14,21,17,23,15,21,22,21,11,7,8,8,9,10,8,10
