TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31
T_0,17,36,29,39,26,35,37,35,47,43,34,34,40,40,32,43,34,22,22,32,26,22,21,31,33,32,28,33,35,26,23,34
T_1,30,31,37,49,32,43,46,44,46,42,33,33,39,39,31,42,29,26,13,28,22,19,18,26,29,28,24,29,30,22,19,29
T_2,26,38,22,41,27,37,39,37,30,27,22,22,25,26,20,27,43,40,28,29,34,28,27,39,43,41,36,43,45,33,29,43
T_3,25,37,30,28,26,36,38,36,39,35,28,28,33,33,26,35,48,44,32,46,26,32,30,44,48,46,40,48,50,37,32,48
T_4,22,32,27,35,16,31,34,32,16,15,12,12,14,14,11,15,25,23,17,24,20,12,16,23,25,24,21,25,26,19,17,25
T_5,13,19,16,21,14,13,20,19,12,11,9,9,10,11,8,11,38,35,25,37,30,25,17,35,38,37,32,38,40,30,26,39
T_6,30,44,37,49,32,43,32,44,20,18,14,14,17,17,13,18,44,41,29,43,35,29,28,28,44,43,37,44,46,34,30,45
T_7,13,19,16,21,14,18,20,13,42,39,30,31,36,36,29,39,11,10,7,10,8,7,7,10,8,10,9,11,11,8,7,11
T_8,10,14,12,16,10,14,15,14,8,10,8,8,9,10,8,10,17,15,11,16,13,11,11,15,17,11,14,17,17,13,11,17
T_9,20,30,25,33,22,29,31,30,25,16,18,18,21,21,17,23,42,39,28,40,33,28,27,38,42,40,25,42,44,32,28,42
T_10,8,11,9,12,8,11,12,11,20,18,10,14,17,17,13,18,38,35,25,37,30,25,24,35,38,37,32,27,40,30,26,39
T_11,21,31,26,34,22,30,32,31,12,11,9,6,10,11,8,11,34,31,22,32,26,22,21,31,33,32,28,33,24,26,23,34
T_12,16,23,19,26,17,23,24,23,25,23,18,18,15,21,17,23,19,18,13,18,15,13,12,18,19,18,16,19,20,10,13,19
T_13,11,16,13,17,11,15,16,15,10,9,7,7,8,6,7,9,28,25,18,27,22,18,17,25,27,26,23,27,29,21,13,28
T_14,13,19,16,21,14,18,20,19,32,29,23,23,27,28,15,30,19,18,13,18,15,13,12,18,19,18,16,19,20,15,13,14
T_15,25,37,30,40,26,36,38,36,37,34,27,27,31,32,25,24,36,33,24,35,28,24,23,33,36,35,30,36,37,28,24,36
T_16,29,42,35,46,30,41,44,42,14,12,10,10,12,12,9,13,7,9,6,9,7,6,6,9,10,9,8,10,10,7,6,10
T_17,20,41,34,45,30,40,43,41,46,42,33,33,39,39,31,42,34,22,22,32,26,22,21,31,33,32,28,33,35,26,23,34
T_18,18,19,22,29,19,26,28,26,35,32,25,25,29,30,24,32,36,33,17,35,28,24,23,33,36,35,30,36,37,28,24,36
T_19,23,34,20,38,25,34,36,34,42,39,30,31,36,36,29,39,29,26,19,19,22,19,18,26,29,28,24,29,30,22,19,29
T_20,10,14,12,11,10,14,15,14,39,35,28,28,33,33,26,35,28,25,18,27,15,18,17,25,27,26,23,27,29,21,18,28
T_21,8,11,9,12,6,11,12,11,30,27,22,22,25,26,20,27,28,25,18,27,22,13,17,25,27,26,23,27,29,21,18,28
T_22,12,18,15,19,13,12,19,18,26,24,19,19,22,22,18,24,34,31,22,32,26,22,15,31,33,32,28,33,35,26,23,34
T_23,26,38,31,41,27,37,28,37,46,42,33,33,39,39,31,42,12,11,8,12,9,8,8,8,12,12,10,12,12,9,8,12
T_24,7,10,8,11,7,10,10,7,11,10,8,8,9,10,8,10,26,24,17,25,21,17,17,24,18,25,22,26,27,20,18,27
T_25,15,22,18,24,16,22,23,22,35,45,36,36,42,43,34,46,12,11,8,12,9,8,8,11,12,8,10,12,12,9,8,12
T_26,12,18,15,19,13,17,19,18,47,30,34,34,40,40,32,43,34,31,22,32,26,22,21,31,33,32,20,33,35,26,23,34
T_27,8,11,9,12,8,11,12,11,24,22,12,17,20,20,16,22,44,41,29,43,35,29,28,40,44,43,37,31,46,34,30,45
T_28,15,22,18,24,16,22,23,22,21,19,15,11,18,18,14,19,34,31,22,32,26,22,21,31,33,32,28,33,24,26,23,34
T_29,6,9,7,10,6,9,9,9,14,12,10,10,8,12,9,13,30,28,20,29,23,20,19,27,30,29,25,30,31,16,20,30
T_30,20,29,24,32,21,28,30,28,40,36,29,29,34,24,27,36,37,34,24,36,29,25,24,34,37,36,31,37,39,29,17,37
T_31,23,33,27,36,24,32,35,33,47,43,34,34,40,40,22,43,41,37,27,39,32,27,26,37,41,39,34,41,42,31,27,29
T_32,8,12,10,13,9,12,13,12,35,32,25,25,29,30,24,22,29,26,19,28,22,19,18,26,29,28,24,29,30,22,19,29
T_33,28,41,34,45,30,40,43,41,30,27,22,22,25,26,20,27,28,36,26,38,31,26,25,36,39,38,33,39,41,31,27,40
T_34,15,31,26,34,22,30,32,31,45,41,32,32,38,38,30,41,22,14,14,21,17,14,14,20,22,21,18,22,22,17,14,22
T_35,26,26,31,41,27,37,39,37,50,45,36,36,42,43,34,46,35,32,16,33,27,23,22,32,35,33,29,35,36,27,23,35
T_36,23,34,20,38,25,34,36,34,26,24,19,19,22,22,18,24,32,30,21,22,25,21,21,30,32,31,27,32,34,25,22,33
T_37,18,27,22,20,19,26,28,26,40,36,29,29,34,34,27,36,34,31,22,32,18,22,21,31,33,32,28,33,35,26,23,34
T_38,16,23,19,26,12,23,24,23,46,42,33,33,39,39,31,42,37,34,24,36,29,17,24,34,37,36,31,37,39,29,25,37
T_39,28,41,34,45,30,28,43,41,11,10,8,8,9,10,8,10,37,34,24,36,29,25,16,34,37,36,31,37,39,29,25,37
T_40,7,10,8,11,7,10,7,10,17,16,13,13,15,15,12,16,29,26,19,28,22,19,18,18,29,28,24,29,30,22,19,29
T_41,30,44,37,49,32,43,46,31,44,40,31,32,37,37,29,40,24,22,16,23,19,16,15,22,17,23,20,24,25,19,16,24
T_42,29,42,35,46,30,41,44,42,28,36,29,29,34,34,27,36,19,18,13,18,15,13,12,18,19,13,16,19,20,15,13,19
