TP,P_0,P_1
T_0,0.159232673644013,0.11140620976102816
T_1,0.6218298933531596,1.796798650334353
T_2,0.7081722556084067,0.8888576334163703
T_3,0.5693092769192043,1.0200370949821436
T_4,0.11713860403647694,0.19104998213174007
T_5,0.5853900813898077,0.22270664903902582
T_6,0.5522046473634625,1.4834892399974744
T_7,0.29133432106885504,0.7072921985399871
T_8,0.9749192579160184,0.5568857435642984
T_9,1.0271921500750638,0.38515436956679683
T_10,0.3830766607867467,0.7376163752516651
T_11,0.6955151948690604,1.313239116481054
T_12,0.3881937834087136,0.2837970758650612
T_13,0.6232926531228764,0.2291662839248989
T_14,0.11364409511037475,0.19670080936880663
T_15,0.9853046557916272,0.7775867595859373
T_16,0.7690720383250927,0.8814768433301704
T_17,0.06542650689266358,0.010590799329395115
T_18,0.4536482618410666,0.2241339905826725
T_19,1.1792072370922524,0.22273806529360032
T_20,0.5097681469663538,0.8143336824191134
T_21,0.43990703783112295,0.46454408397595065
T_22,0.8572343507156382,0.24019490736082494
T_23,0.9513807014879395,0.6572744373137457
T_24,0.2414971434889798,0.6531126162285159
T_25,1.0782457503432983,1.613208208356085
T_26,0.17444469166814378,0.09849734176718766
T_27,0.2084262556931516,0.4255338800411316
T_28,0.12795682360896418,1.9695200315674999
T_29,1.692548280669561,0.16843160731645798
T_30,0.21469837264319339,0.21382680184858557
T_31,1.597105509555644,1.1354118249692302
T_32,0.9016291438140721,0.997177847299659
T_33,0.9000724561802596,0.0858573737606137
T_34,0.4595581397887384,0.2203749266653851
T_35,0.8879465817472846,1.2569702183082079
T_36,0.31395395351501143,0.307282866154327
T_37,2.0257027441644433,0.3192472304780979
T_38,0.04228192822869725,0.003328971607272707
T_39,1.000653543727801,0.480370233991294
T_40,0.9553968582769629,1.1820799080020883
T_41,0.10925798503338185,0.18070297624566312
T_42,0.5792350838193749,0.11866358542177398
T_43,0.8791002638670286,0.3077447662454156
T_44,0.13852094756128266,0.16626343575805713
T_45,0.20044832938708002,0.14269532655790615
T_46,0.9045097561316638,1.6886131428345612
T_47,1.4886251696449198,1.2051387085190228
T_48,1.0890252555679834,1.2377655375991319
T_49,0.2905547263950481,0.3267299257714881
T_50,1.0429626599617015,1.2777938164489693
T_51,0.632251571055968,0.5330630503573709
T_52,0.04783373946053033,0.20804025003003537
T_53,0.8082965451574486,1.0001321038646824
T_54,0.13290362693715188,0.9111947055778296
T_55,0.720260280247679,1.0097033485218805
T_56,0.27095934304784797,0.5255029314090621
T_57,1.2357438551144773,0.12092968769856918
T_58,0.05034027165743141,0.03127454010571825
T_59,0.4671644782693716,0.301628933922697
T_60,1.291619481110978,0.472915897677171
T_61,1.269777997762666,0.17831504438455675
T_62,0.15274013114702067,0.1544070895247322
T_63,0.11594356026802763,0.8494362287926406
T_64,0.2506941029874049,1.5628397865017976
T_65,0.5913467837814073,0.9511983958782904
T_66,0.7549797903923735,0.33070776700253435
T_67,0.6813703107922471,0.8795901823999652
T_68,1.0071011225879036,0.557263274723647
T_69,0.9482201998438844,0.6806965151364193
T_70,0.6907539878377597,1.2250890415148414
T_71,0.11017015574019712,0.9735368716293963
T_72,1.749266555438707,0.4704962769301411
T_73,0.3106300978767029,1.049015324347081
T_74,1.3087194282716723,0.3858660173649454
T_75,0.6994979904609059,1.0320958143093395
T_76,0.033723332877514535,0.08120592189574437
T_77,0.9238539932178619,0.41879797281904246
T_78,0.1342663438218007,0.14905394601472516
T_79,0.747130210786709,1.6174803904256492
T_80,0.2800905167401284,0.8622449486782395
T_81,0.21377787973249018,0.12174104897989962
T_82,0.07513167956204969,0.06702461117624973
T_83,0.14593110934040127,0.4661234200465527
T_84,0.10316252612668869,0.17925677947271942
T_85,0.6496526712226475,0.06657633949577207
T_86,0.16952498171973704,0.44964267931114593
T_87,0.2636756969088891,0.7517629602752179
T_88,1.7448839442909216,0.5553638508756299
T_89,0.2678578923136654,1.1282530055880522
T_90,0.6806628922525758,0.24315094337529244
T_91,1.427286216505527,0.3972536664615735
T_92,0.08756355135685068,0.30103095890840004
T_93,0.5326523637444855,0.06849672813441338
T_94,0.5878197936144003,0.6141395183509437
T_95,0.43601757761830556,0.09184444480748609
T_96,0.14092810440466347,0.49677157187379495
T_97,1.4555410689667436,0.36026346870946835
T_98,1.2473070965642679,1.327155898790688
T_99,1.6637656266660523,1.127620816304857
T_100,0.3998081203902024,1.135271055244758
T_101,0.5596556627099706,0.4101154854789115
T_102,0.11713112906456617,0.1289386637204015
T_103,0.030903119377466717,0.2808188978259934
T_104,1.4043031221558686,1.440979970600163
T_105,0.0026495189667038992,0.0028660035520650514
T_106,0.4798966123506047,0.46618739512285706
T_107,0.51183576715032,0.6482362326524128
T_108,0.33825117304826635,0.6280925495813545
T_109,0.009978784478989663,0.007047130235266478
T_110,0.4208434009634479,0.9893961751423288
T_111,0.06458700518722148,0.246029888479605
T_112,0.882400779605987,1.4162971000245246
T_113,0.7522191956559703,1.4315651586035132
T_114,1.702637987418989,0.762356822464351
T_115,0.5110188512071967,0.6988267513786877
T_116,0.905430138741079,0.6992650652641351
T_117,1.0431804740150294,0.30813794730944977
T_118,0.5611910479403197,1.4348747825719297
T_119,1.5040109456657047,0.21330930417193256
T_120,0.6946367894423641,0.8099280127460563
T_121,0.8254610921475728,0.4297383927497875
T_122,1.342597202953126,0.17761366604533813
T_123,0.6712348107457724,0.17278356766871217
T_124,0.5221974118312042,0.5317142799560559
T_125,0.6824796717412092,1.5322055384632378
T_126,0.33780712978834204,0.04609183536560155
T_127,0.4120811539272242,0.4823556264179412
T_128,0.016241341452992792,0.046687756173378704
T_129,1.010627410384886,1.6449316968588166
T_130,0.9804655406864089,0.8619078819371077
T_131,1.108163463819869,0.2531065410285589
T_132,1.8985392041179334,1.1595989199862846
T_133,0.23789162893128343,1.9410066105377086
T_134,0.3012049362970881,0.22110592182263766
T_135,1.4808587136053175,0.6004048980594763
T_136,1.0969866414677187,1.1470902953203557
T_137,0.28684391535515896,1.0008434542265445
T_138,0.13539390125612927,1.0527916879487607
T_139,0.2614456661707071,0.12334566938682426
T_140,1.7426629982270603,1.4191239665398463
T_141,1.0644337662711554,1.0305291292987286
T_142,1.4091200002827513,1.2356945132698507
T_143,0.4343248019593075,0.1809855118486921
T_144,0.5829237185193094,0.10289928013541509
T_145,0.2185023170031041,0.6500302798691973
T_146,1.3230099533972552,0.08828715923259518
T_147,0.054899786847916236,0.030723424119321625
T_148,1.3323508834767739,1.4222088333496656
T_149,0.15089253376653408,0.06845273349042606
T_150,0.46705699160596226,0.7018391656227427
T_151,0.2574091287296296,0.739868843242928
T_152,0.6267198986813485,0.7778377035062498
T_153,1.269840354625507,1.2197993822713302
T_154,0.5418101001734915,0.2864876556111402
T_155,1.0588313952437187,0.21027135590281157
T_156,0.12450865083873769,1.2737828508061868
T_157,0.201699377152082,0.5437747762709417
T_158,0.46627595124727744,0.30365146676552807
T_159,0.07856348242503258,0.08916521020997556
