TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,2.41,2.05,2.60,2.73,2.47,2.76,2.09,2.62
T_1,2.35,2.29,2.47,2.27,2.71,2.77,2.52,2.45
T_2,2.16,2.62,2.83,2.23,2.71,2.49,2.55,2.78
T_3,2.47,1.92,2.71,2.62,2.54,2.29,2.39,2.43
T_4,2.58,2.44,2.55,2.34,2.56,2.56,2.46,2.71
T_5,2.56,2.05,2.42,2.44,2.78,2.59,2.49,2.82
T_6,2.22,2.07,2.25,2.40,2.64,2.61,2.35,2.51
T_7,2.37,2.28,2.64,2.40,2.72,2.39,2.65,2.36
T_8,2.33,2.05,2.57,2.57,2.34,2.35,2.44,2.41
T_9,2.32,2.44,2.74,2.39,2.53,2.45,2.17,2.64
T_10,2.41,2.31,2.68,2.56,2.70,2.69,2.27,2.60
T_11,2.23,2.37,2.58,2.36,2.40,2.60,2.53,2.61
T_12,2.18,2.00,2.42,2.41,2.49,2.71,2.33,2.44
T_13,2.27,2.13,2.48,2.46,2.50,2.62,2.54,2.73
T_14,2.23,2.31,2.40,2.22,2.69,2.68,2.44,2.50
T_15,2.49,2.09,2.50,2.51,2.70,2.50,2.30,2.38
T_16,2.36,2.22,2.63,2.48,2.49,2.50,2.37,2.58
T_17,2.62,1.96,2.35,2.24,2.80,2.78,2.67,2.51
T_18,2.45,2.29,2.67,2.40,2.58,2.76,2.41,2.36
T_19,2.31,2.38,2.62,2.15,2.70,2.83,2.37,2.30
T_20,2.20,2.09,2.60,2.57,2.60,2.83,2.48,2.54
T_21,2.29,2.21,2.44,2.24,2.44,2.68,2.43,2.27
T_22,2.51,1.76,2.72,2.48,2.44,2.41,2.56,2.22
T_23,2.47,2.31,2.67,2.47,2.38,2.63,2.63,2.75
T_24,2.35,2.34,2.85,2.58,2.40,2.68,2.27,2.47
T_25,2.46,2.28,2.76,2.45,2.66,2.62,2.78,2.47
T_26,2.35,2.12,2.69,2.45,2.68,2.47,2.47,2.49
T_27,2.19,2.12,2.37,2.39,2.37,2.59,2.26,2.69
T_28,2.65,2.00,2.38,2.58,2.81,2.58,2.38,2.49
T_29,2.43,2.26,2.44,2.27,2.93,2.58,2.45,2.82
T_30,2.23,2.34,2.57,2.34,2.45,2.41,2.29,2.48
T_31,2.10,2.40,2.77,2.15,2.28,2.54,2.65,2.80
T_32,2.52,2.41,2.54,2.29,2.78,2.80,2.47,2.66
T_33,2.41,2.31,2.64,2.62,2.32,2.80,2.18,2.42
T_34,2.59,2.26,2.40,2.43,2.49,2.67,2.56,2.36
T_35,2.63,2.21,2.68,2.39,2.47,2.83,2.41,2.53
T_36,2.76,2.30,2.92,2.40,2.51,2.66,2.36,2.44
T_37,2.38,2.49,2.74,2.42,2.63,2.43,2.54,2.56
T_38,2.56,2.06,2.44,2.43,2.54,2.38,2.44,2.55
T_39,2.41,2.14,2.73,2.64,2.88,2.71,2.42,2.51
T_40,2.16,2.57,2.66,2.40,2.42,2.40,2.52,2.46
T_41,2.57,2.29,2.75,2.34,2.81,2.23,2.71,2.62
T_42,2.42,2.05,2.81,2.45,2.68,2.47,2.49,2.47
T_43,2.38,2.27,2.55,2.33,2.54,2.85,2.25,2.37
T_44,2.42,1.91,2.50,2.50,2.51,3.03,2.51,2.29
T_45,2.31,2.33,2.65,2.67,2.50,2.65,2.47,2.50
T_46,2.67,2.26,2.54,2.46,2.64,2.74,2.67,2.79
T_47,2.82,2.39,2.84,2.24,2.60,2.41,2.32,2.61
T_48,2.59,2.37,2.49,2.45,2.48,2.75,2.44,2.63
T_49,2.35,2.21,2.85,2.54,2.54,2.57,2.45,2.42
T_50,2.16,2.36,2.37,2.19,2.40,2.67,2.36,2.61
T_51,2.62,1.99,2.53,1.99,2.37,2.72,2.35,2.42
T_52,2.27,2.49,2.62,2.37,2.64,2.79,2.38,2.62
T_53,2.37,2.01,2.66,2.35,2.47,2.65,2.65,2.55
T_54,2.51,2.00,2.31,2.34,2.22,2.70,2.60,2.44
T_55,2.33,1.90,2.52,2.49,2.86,2.27,2.14,2.53
T_56,2.38,2.23,2.53,2.49,2.58,2.85,2.38,2.65
T_57,2.34,2.13,2.26,2.32,2.75,2.48,2.61,2.76
T_58,2.29,2.55,2.49,2.54,2.49,2.26,2.25,2.59
