TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15
T_0,24,32,31,43,30,27,41,29,37,36,25,26,31,36,26,27
T_1,35,22,31,43,30,27,41,29,39,37,26,26,32,37,27,28
T_2,14,13,9,17,12,11,16,12,32,30,21,22,26,30,22,23
T_3,31,28,27,27,27,24,36,26,21,20,14,14,18,20,15,15
T_4,14,13,12,17,8,11,16,12,21,20,14,14,18,20,15,15
T_5,10,9,9,12,9,5,12,8,40,38,27,27,33,38,27,29
T_6,14,13,12,17,12,11,12,12,26,24,17,18,21,25,18,18
T_7,11,10,10,14,9,8,13,6,13,12,9,9,11,12,9,9
T_8,35,32,31,43,30,27,41,29,11,16,11,11,14,16,11,12
T_9,22,20,19,27,19,17,26,18,46,30,31,31,38,44,32,33
T_10,23,21,20,29,20,18,27,19,40,38,19,27,33,38,27,29
T_11,32,29,28,40,28,25,38,27,9,9,6,4,8,9,6,7
T_12,26,23,23,32,22,20,31,22,36,34,24,25,21,35,25,26
T_13,11,10,10,14,9,8,13,9,14,13,9,10,12,9,10,10
T_14,21,19,19,26,18,16,25,18,40,38,27,27,33,38,19,29
T_15,13,12,11,16,11,10,15,11,12,11,8,8,10,11,8,6
T_16,32,29,28,40,28,25,38,27,11,10,7,7,9,10,7,8
T_17,23,30,29,41,28,25,39,28,35,33,24,24,29,34,24,25
T_18,27,17,24,34,23,21,32,23,15,14,10,10,13,15,11,11
T_19,18,16,11,22,15,14,21,15,43,41,29,30,36,41,30,31
T_20,18,16,16,16,15,14,21,15,18,17,12,12,15,17,12,13
T_21,34,31,30,42,20,26,40,28,12,11,8,8,10,11,8,8
T_22,22,20,19,27,19,12,26,18,23,22,16,16,20,22,16,17
T_23,11,10,10,14,9,8,9,9,25,23,17,17,21,24,17,18
T_24,14,13,12,17,12,11,16,8,29,28,20,20,24,28,20,21
T_25,39,35,34,48,34,30,46,33,30,40,28,29,35,40,29,30
T_26,34,31,30,42,29,26,40,28,45,30,30,30,37,43,31,32
T_27,8,7,7,10,7,6,9,7,11,10,5,7,9,10,7,8
T_28,31,28,27,39,27,24,36,26,11,10,7,5,9,10,7,8
T_29,12,11,11,15,10,9,14,10,22,21,15,15,13,21,15,16
T_30,34,31,30,42,29,26,40,28,34,32,23,23,28,23,23,24
T_31,10,9,9,12,9,8,12,8,25,23,17,17,21,24,12,18
T_32,9,8,8,11,8,7,11,8,18,17,12,12,15,17,12,9
T_33,30,27,27,37,26,23,35,25,25,23,17,17,21,24,17,18
T_34,9,12,11,16,11,10,15,11,18,17,12,12,15,17,12,13
T_35,37,23,33,46,32,28,44,31,45,42,30,30,37,43,31,32
T_36,15,14,9,19,13,11,18,13,34,32,23,23,28,33,23,24
T_37,10,9,9,9,9,8,12,8,41,39,28,28,34,39,28,29
T_38,20,18,18,25,12,15,24,17,16,16,11,11,14,16,11,12
T_39,21,19,19,26,18,11,25,18,47,44,32,32,39,45,32,34
T_40,25,23,22,31,21,19,21,21,16,16,11,11,14,16,11,12
T_41,36,32,32,45,31,28,42,21,11,10,7,7,9,10,7,8
T_42,38,34,34,47,33,29,45,32,18,24,17,18,21,25,18,18
T_43,9,8,8,11,8,7,11,8,26,17,17,18,21,25,18,18
T_44,9,8,8,11,8,7,11,8,33,31,15,22,27,31,23,24
T_45,19,17,17,24,16,15,22,16,36,34,24,17,30,35,25,26
T_46,29,26,26,36,25,22,34,24,11,10,7,7,6,10,7,8
T_47,21,19,19,26,18,16,25,18,35,33,24,24,29,24,24,25
T_48,15,14,13,19,13,11,18,13,11,10,7,7,9,10,5,8
T_49,21,19,19,26,18,16,25,18,45,42,30,30,37,43,31,22
T_50,15,14,13,19,13,11,18,13,19,18,13,13,16,18,13,13
T_51,27,34,34,47,33,29,45,32,29,28,20,20,24,28,20,21
T_52,29,18,26,36,25,22,34,24,16,16,11,11,14,16,11,12
T_53,35,32,22,43,30,27,41,29,15,14,10,10,13,15,11,11
T_54,14,13,12,12,12,11,16,12,30,29,21,21,25,29,21,22
T_55,40,36,35,50,24,31,47,33,22,21,15,15,19,21,15,16
T_56,14,13,12,17,12,8,16,12,36,34,24,25,30,35,25,26
T_57,9,8,8,11,8,7,7,8,15,14,10,10,13,15,11,11
T_58,22,20,19,27,19,17,26,13,27,26,18,18,22,26,19,19
T_59,22,20,19,27,19,17,26,18,8,11,8,8,10,11,8,8
T_60,28,25,25,35,24,21,33,23,42,28,28,29,35,40,29,30
T_61,31,28,27,39,27,24,36,26,46,43,22,31,38,44,32,33
T_62,9,8,8,11,8,7,11,8,19,18,13,9,16,18,13,13
T_63,30,27,27,37,26,23,35,25,28,27,19,19,16,27,19,20
T_64,9,8,8,11,8,7,11,8,45,42,30,30,37,30,31,32
T_65,38,34,34,47,33,29,45,32,20,19,13,14,17,19,10,14
T_66,16,14,14,20,14,12,19,13,36,34,24,25,30,35,25,18
T_67,25,23,22,31,21,19,29,21,34,32,23,23,28,33,23,24
T_68,10,13,12,17,12,11,16,12,25,23,17,17,21,24,17,18
T_69,13,8,11,16,11,10,15,11,25,23,17,17,21,24,17,18
T_70,26,23,16,32,22,20,31,22,16,16,11,11,14,16,11,12
T_71,19,17,17,17,16,15,22,16,47,44,32,32,39,45,32,34
T_72,31,28,27,39,19,24,36,26,14,13,9,10,12,13,10,10
T_73,13,12,11,16,11,7,15,11,15,14,10,10,13,15,11,11
T_74,23,21,20,29,20,18,19,19,9,9,6,6,8,9,6,7
T_75,10,9,9,12,9,8,12,6,21,20,14,14,18,20,15,15
T_76,36,32,32,45,31,28,42,30,29,39,28,28,34,39,28,29
T_77,39,35,34,48,34,30,46,33,19,12,13,13,16,18,13,13
T_78,16,14,14,20,14,12,19,13,22,21,11,15,19,21,15,16
T_79,24,22,21,30,21,18,28,20,34,32,23,16,28,33,23,24
T_80,38,34,34,47,33,29,45,32,28,27,19,19,16,27,19,20
T_81,17,15,15,21,15,13,20,14,13,12,9,9,11,9,9,9
T_82,31,28,27,39,27,24,36,26,30,29,21,21,25,29,15,22
T_83,29,26,26,36,25,22,34,24,40,38,27,27,33,38,27,20
T_84,21,19,19,26,18,16,25,18,35,33,24,24,29,34,24,25
T_85,15,19,19,26,18,16,25,18,32,30,21,22,26,30,22,23
T_86,14,9,12,17,12,11,16,12,18,17,12,12,15,17,12,13
T_87,40,36,25,50,34,31,47,33,26,24,17,18,21,25,18,18
T_88,12,11,11,10,10,9,14,10,20,19,13,14,17,19,14,14
T_89,13,12,11,16,8,10,15,11,26,24,17,18,21,25,18,18
T_90,8,7,7,10,7,4,9,7,9,9,6,6,8,9,6,7
T_91,18,16,16,22,15,14,15,15,11,10,7,7,9,10,7,8
T_92,35,32,31,43,30,27,41,20,22,21,15,15,19,21,15,16
T_93,16,14,14,20,14,12,19,13,21,28,20,20,24,28,20,21
T_94,19,17,17,24,16,15,22,16,22,15,15,15,19,21,15,16
T_95,29,26,26,36,25,22,34,24,25,23,12,17,21,24,17,18
T_96,24,22,21,30,21,18,28,20,28,27,19,13,23,27,19,20
T_97,11,10,10,14,9,8,13,9,43,41,29,30,25,41,30,31
T_98,26,23,23,32,22,20,31,22,45,42,30,30,37,30,31,32
T_99,34,31,30,42,29,26,40,28,27,26,18,18,22,26,13,19
T_100,30,27,27,37,26,23,35,25,11,10,7,7,9,10,7,5
T_101,27,24,24,34,23,21,32,23,18,17,12,12,15,17,12,13
T_102,10,14,13,19,13,11,18,13,21,20,14,14,18,20,15,15
T_103,22,14,19,27,19,17,26,18,45,42,30,30,37,43,31,32
T_104,17,15,11,21,15,13,20,14,20,19,13,14,17,19,14,14
T_105,22,20,19,19,19,17,26,18,16,16,11,11,14,16,11,12
T_106,8,7,7,10,5,6,9,7,22,21,15,15,19,21,15,16
T_107,9,8,8,11,8,5,11,8,39,37,26,26,32,37,27,28
T_108,19,17,17,24,16,15,16,16,39,37,26,26,32,37,27,28
T_109,25,23,22,31,21,19,29,15,32,30,21,22,26,30,22,23
T_110,19,17,17,24,16,15,22,16,33,44,32,32,39,45,32,34
T_111,21,19,19,26,18,16,25,18,41,27,28,28,34,39,28,29
T_112,24,22,21,30,21,18,28,20,40,38,19,27,33,38,27,29
T_113,37,33,33,46,32,28,44,31,34,32,23,16,28,33,23,24
