TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,24,32,31,43,30,27,41,29
T_1,35,22,31,43,30,27,41,29
T_2,14,13,9,17,12,11,16,12
T_3,31,28,27,27,27,24,36,26
T_4,14,13,12,17,8,11,16,12
T_5,10,9,9,12,9,5,12,8
T_6,14,13,12,17,12,11,12,12
T_7,11,10,10,14,9,8,13,6
T_8,35,32,31,43,30,27,41,29
T_9,22,20,19,27,19,17,26,18
T_10,23,21,20,29,20,18,27,19
T_11,32,29,28,40,28,25,38,27
T_12,26,23,23,32,22,20,31,22
T_13,11,10,10,14,9,8,13,9
T_14,21,19,19,26,18,16,25,18
T_15,13,12,11,16,11,10,15,11
T_16,32,29,28,40,28,25,38,27
T_17,23,30,29,41,28,25,39,28
T_18,27,17,24,34,23,21,32,23
T_19,18,16,11,22,15,14,21,15
T_20,18,16,16,16,15,14,21,15
T_21,34,31,30,42,20,26,40,28
T_22,22,20,19,27,19,12,26,18
T_23,11,10,10,14,9,8,9,9
T_24,14,13,12,17,12,11,16,8
T_25,39,35,34,48,34,30,46,33
T_26,34,31,30,42,29,26,40,28
T_27,8,7,7,10,7,6,9,7
T_28,31,28,27,39,27,24,36,26
T_29,12,11,11,15,10,9,14,10
T_30,34,31,30,42,29,26,40,28
T_31,10,9,9,12,9,8,12,8
T_32,9,8,8,11,8,7,11,8
T_33,30,27,27,37,26,23,35,25
T_34,9,12,11,16,11,10,15,11
T_35,37,23,33,46,32,28,44,31
T_36,15,14,9,19,13,11,18,13
T_37,10,9,9,9,9,8,12,8
T_38,20,18,18,25,12,15,24,17
T_39,21,19,19,26,18,11,25,18
T_40,25,23,22,31,21,19,21,21
T_41,36,32,32,45,31,28,42,21
T_42,38,34,34,47,33,29,45,32
T_43,9,8,8,11,8,7,11,8
T_44,9,8,8,11,8,7,11,8
T_45,19,17,17,24,16,15,22,16
T_46,29,26,26,36,25,22,34,24
T_47,21,19,19,26,18,16,25,18
T_48,15,14,13,19,13,11,18,13
T_49,21,19,19,26,18,16,25,18
T_50,15,14,13,19,13,11,18,13
T_51,27,34,34,47,33,29,45,32
