TP,P_0,P_1,P_2,P_3
T_0,387.8775,1487.9731,1038.8444,1050.7874
T_1,757.9196,1076.9674,1416.7753,1730.3880
T_2,804.1287,325.2546,1330.3536,796.0218
T_3,356.4544,451.5805,1651.0492,206.8977
T_4,1768.7038,1940.9923,594.7949,1061.6173
T_5,1649.7301,1859.6170,922.4031,1442.6859
T_6,809.7774,1237.0188,397.1091,740.6041
T_7,650.0869,401.6028,1670.1049,1745.2849
T_8,342.1444,1893.0914,756.4929,725.7055
T_9,256.5058,256.8708,1411.2852,427.0528
T_10,552.1780,1554.2918,1731.7291,1151.6277
T_11,867.7307,1179.3818,1260.0894,724.9041
T_12,1538.9680,1821.8456,1473.6787,1995.8792
T_13,352.1463,691.2023,1630.6905,528.2605
T_14,765.5700,1596.1585,441.0100,1520.9008
T_15,879.8584,876.1712,1280.3011,602.5259
T_16,655.1497,1585.0688,653.8774,463.3630
T_17,1695.0875,1125.3438,1950.3919,1711.8331
T_18,729.7072,367.7421,709.4393,295.4383
T_19,327.8879,1770.7754,774.9551,1630.3956
T_20,1976.9294,1672.2049,1201.6361,828.2413
T_21,927.9241,1674.2258,1593.1386,1650.9421
T_22,462.4009,428.2324,1960.1354,660.3473
T_23,1815.8608,1890.3843,1547.1944,1676.0068
T_24,473.9907,1329.2031,696.4780,1282.6620
T_25,725.5044,996.7264,1029.8166,613.6243
T_26,1871.4537,1761.8456,1466.1720,1984.4042
T_27,1981.7630,1535.2523,400.3726,994.7947
T_28,1021.2034,810.6143,1543.9715,1207.6534
T_29,1674.5351,652.0598,1674.6018,980.9239
T_30,1991.9302,1002.9352,200.9621,1466.8552
T_31,1165.2083,1490.0446,1895.9723,839.3229
T_32,820.5476,1033.4325,1821.4476,998.6847
T_33,1274.2974,1492.2932,1104.8912,1180.2030
T_34,842.3884,788.0118,956.7876,1166.0785
T_35,408.0538,1608.7344,1669.1791,927.1486
T_36,227.8597,1165.3408,1639.1439,1205.2464
T_37,546.4128,539.5410,201.4717,1821.9309
T_38,1654.6013,1715.5541,1290.7318,1722.5692
T_39,995.7643,1562.9614,1448.4159,581.4091
T_40,1865.8733,826.8491,1363.8566,1148.3305
T_41,1713.8047,1401.6879,1720.4973,1528.9102
T_42,1705.7232,563.7685,565.2651,1086.5233
T_43,1695.2723,708.5233,772.8701,583.1958
T_44,1333.7561,1273.8135,1438.9954,1999.8676
T_45,1850.9006,890.7258,492.9100,481.0066
T_46,1031.9608,1999.5167,1344.0834,1558.7432
T_47,401.5614,1382.3220,384.4387,1279.4269
T_48,1339.5959,575.3784,1300.2052,1581.2046
T_49,444.8777,720.8486,1213.3440,826.1718
T_50,1444.8434,310.2338,1499.5233,1982.6443
T_51,1974.2759,1114.9484,326.6586,1146.0780
T_52,1142.6840,907.5359,588.8131,1721.9508
T_53,323.9660,1448.5484,730.5085,1175.1475
T_54,533.9391,1082.8500,316.3697,1714.2880
T_55,257.6045,361.7541,1327.3487,523.4012
T_56,379.3298,1285.8381,1746.9274,1319.8938
T_57,1408.3181,1191.6655,338.3181,812.9075
T_58,260.4695,812.8236,755.0241,1740.6668
T_59,1391.2025,510.2657,506.7307,1917.0123
T_60,1872.8581,398.0053,616.0593,1494.0255
T_61,993.5089,662.4879,1155.4609,1891.0476
T_62,1844.8699,325.0577,1247.2655,1362.0277
