TP,P_0,P_1,P_2,P_3
T_0,2.3679553039977135,2.0997442153780757,2.222577032700323,0.749033687716251
T_1,0.2832390920681147,0.1993703056005863,0.349952430958359,0.38667843184803397
T_2,0.8674170068251275,1.0695387668363048,0.6556277214737205,0.9306645313178168
T_3,1.2618634822500283,1.740553961356978,1.1194570675270654,1.9106012420577274
T_4,0.44682480019945037,0.5999982348691717,0.3029086726681122,0.3292515427613775
T_5,0.9458739681917836,0.9633025094185697,1.2420158524651717,1.2852422592794834
T_6,0.6685650635504595,0.797029172682294,0.900940766519704,0.5648108314601342
T_7,0.6639996631071441,1.0207247183107633,1.2031326268990141,1.511092924145066
T_8,1.9428385461626874,1.387980402872409,1.387979004734807,1.840342113215634
T_9,2.1237625619707394,1.0905975530044216,0.8651103589842045,0.7744246706923208
T_10,1.0935348174563164,0.6405274006380395,1.0060609296488918,0.8607692711996375
T_11,0.8243228675112841,1.0249905186119719,1.358905512909173,1.2096759619996873
T_12,0.619709418989878,0.5288522570469874,0.4443702004743185,0.7022635646950864
T_13,2.0356789850716193,1.1620935879479788,1.3972460803005675,1.461108335432261
T_14,2.674912117157091,1.8447246219577897,2.4152648925086115,1.463104101028611
T_15,1.7724682606707693,1.775473799893775,1.0325643704706615,2.4876156639535134
T_16,2.523488235093751,2.576544250578453,1.8349144943060787,1.8624309081727537
T_17,1.1105406216895812,2.6411815253950888,1.188075030171419,2.6417273065697238
T_18,1.8292401400671263,1.3886389314683947,1.1318187386450373,1.975759616844039
T_19,0.5517365873082646,1.03551600834995,1.33507311780829,1.4790825814738815
T_20,2.6707261069765087,1.465007936013126,1.617949106064303,1.9368439921828227
T_21,2.6403519668199418,2.0948094146489034,2.514041776716354,1.0576822645233184
T_22,2.0812440104446965,0.7866971075526481,0.9319348308390576,0.9418047975951453
T_23,1.8567306273685809,2.0264566549512293,1.493724645983833,0.9583871420855754
T_24,0.8024672931651909,2.704692586294837,2.7086445241459183,1.90173284083496
T_25,1.3357835090723365,1.049774911488988,1.4517069165082601,1.3098781042709327
T_26,1.0196138779412058,2.894083630946208,2.5675833950031146,1.6868054004798743
T_27,0.7149499988896773,2.0414548389031637,1.0979973642225433,2.0709435851340476
T_28,0.3086400736965762,0.28995639332470535,0.16744435561691384,0.23121250224861783
T_29,1.4660794777690922,1.6719978906336828,2.65400660810944,2.5580556471258475
T_30,1.5355562243255094,0.7216723194495903,1.9686335227026877,1.8099875303189152
T_31,1.3321683775749373,2.07484701454658,0.7164083737004749,1.6960801932325276
T_32,2.416414976618464,1.5362742940981273,0.7226849887475528,2.389808894562471
T_33,1.599064649228782,1.8244716478344059,0.8916895386375807,2.4016293632278183
T_34,2.4162237150594796,1.0465532854721757,0.7272224374551898,0.8368261516394803
T_35,0.7973482495548334,0.599661059181467,0.2870981657958098,0.25274218947254695
T_36,1.8169001448905533,0.5405225853216167,1.3903967249989302,2.0034083745632936
T_37,0.5261594829340447,0.5081989426175331,0.5561191623984038,0.6300565861501457
T_38,1.0258129950370871,1.1347148113377288,0.7512746723756805,0.9989925601099165
T_39,2.372311463607395,1.4909775455734502,1.4612465902589014,1.3996313780598206
T_40,0.6805653725473151,1.7030669936016707,1.4660334670546324,1.7351461940935216
T_41,0.4525793966002163,0.47757560658581827,0.7866022726313935,0.6157073900970975
T_42,0.9155259842023378,0.641606178393836,1.8202318898971075,0.7125156389168634
T_43,1.5194142105027424,1.5188910549898862,1.278434331054504,1.396891449924087
T_44,2.1517882043153005,1.1124308459857906,0.8880604576527589,1.2508368770635034
T_45,0.5397069766767711,0.5778987111122321,1.0430957551193007,0.8571192830632309
