TP,P_0,P_1,P_2,P_3
T_0,22.22,77.61,46.49,115.55
T_1,78.09,40.82,44.37,36.07
T_2,36.76,17.99,14.56,28.5
T_3,18.99,4.91,4.01,74.09
T_4,82.65,47.32,2.13,32.42
T_5,3.16,20.28,23.48,9.71
T_6,52.1,5.38,42.59,46.77
T_7,44.04,45.1,22.94,44.97
T_8,43.97,59.1,40.39,78.15
T_9,35.15,42.43,38.35,30.98
T_10,30.92,61.76,75.85,10.43
T_11,24.78,40.27,7.57,42.0
T_12,32.81,13.54,37.59,9.08
T_13,26.05,49.32,21.12,44.71
T_14,27.44,48.67,10.54,31.15
T_15,36.76,16.89,28.59,3.05
T_16,23.4,42.23,11.9,32.54
T_17,14.36,9.44,5.11,2.24
T_18,56.63,34.05,43.6,25.93
T_19,37.33,10.5,29.09,13.04
T_20,38.86,1.16,40.48,7.37
T_21,45.6,36.25,49.82,22.05
T_22,42.22,57.87,71.15,30.33
T_23,13.93,27.69,34.94,20.16
T_24,19.82,26.71,13.26,11.66
