TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,23.89,49.62,22.47,16.91,20.75,8.85,5.46,32.59
T_1,41.8,15.99,19.75,9.66,21.01,20.96,45.12,34.03
T_2,2.29,57.31,83.34,49.14,10.53,40.2,2.33,12.47
T_3,17.66,12.21,40.68,23.98,20.52,27.24,47.69,31.48
T_4,17.55,1.11,40.62,46.08,36.68,21.21,33.89,37.17
T_5,37.66,10.6,19.41,19.53,17.94,12.3,24.14,1.88
T_6,46.53,21.48,36.82,29.2,34.21,10.62,33.74,22.26
T_7,44.38,10.76,2.26,7.14,53.19,19.3,33.87,29.33
T_8,30.75,27.19,10.97,40.3,25.01,8.34,69.47,18.54
T_9,30.01,49.76,5.97,15.71,41.31,24.88,12.34,119.43
T_10,26.71,36.19,35.39,17.01,20.21,39.03,37.32,2.07
T_11,40.58,33.28,3.07,38.3,62.6,14.55,48.66,34.86
T_12,8.15,49.79,1.96,22.08,62.68,23.47,46.6,33.89
T_13,58.12,20.71,9.45,34.21,14.91,18.44,18.07,20.86
T_14,23.29,34.34,21.26,1.09,15.27,4.65,80.73,41.25
T_15,91.22,17.7,26.95,18.32,86.59,8.48,34.34,26.52
T_16,5.14,40.35,35.92,15.86,8.68,27.16,96.91,16.41
T_17,59.6,5.75,30.91,43.94,29.58,1.83,46.93,31.98
T_18,12.87,2.64,34.02,17.41,20.64,1.34,16.16,8.99
T_19,95.11,41.38,26.82,91.4,65.26,41.09,49.97,27.64
T_20,6.51,29.03,43.42,45.43,43.68,14.91,11.59,79.74
T_21,3.17,32.64,13.68,9.13,32.59,47.43,30.04,65.81
T_22,75.28,36.32,40.77,37.08,12.18,43.81,43.93,42.57
T_23,43.17,44.59,42.53,5.44,33.1,19.22,32.36,34.85
T_24,41.57,39.35,41.22,33.23,22.51,26.92,31.26,79.78
