TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,10,12,17,14,15,14,19,15
T_1,18,11,21,18,18,17,24,19
T_2,32,27,26,32,32,31,42,33
T_3,25,21,29,17,25,24,32,26
T_4,12,10,14,12,8,11,16,12
T_5,22,19,26,22,22,15,29,23
T_6,34,29,39,33,34,32,31,35
T_7,24,20,28,23,24,23,31,17
T_8,31,26,36,31,31,30,41,32
T_9,27,23,32,27,28,26,36,29
T_10,16,14,19,16,17,16,21,17
T_11,19,16,22,19,19,18,25,20
T_12,11,9,13,11,11,10,14,11
T_13,23,19,27,23,23,22,30,24
T_14,28,24,33,28,29,27,37,30
T_15,20,17,23,20,20,19,26,21
T_16,36,31,43,36,37,35,48,38
T_17,18,22,30,25,26,24,33,27
T_18,16,10,19,16,17,16,21,17
T_19,34,29,28,33,34,32,44,35
T_20,14,12,16,9,14,13,18,14
T_21,24,20,28,23,17,23,31,25
T_22,29,25,34,29,29,20,38,31
T_23,35,30,42,35,36,34,33,37
T_24,21,18,24,21,21,20,27,15
T_25,30,25,35,30,30,29,39,31
T_26,20,17,23,20,20,19,26,21
T_27,12,10,14,12,12,11,16,12
T_28,28,24,33,28,29,27,37,30
T_29,20,17,23,20,20,19,26,21
T_30,25,22,30,25,26,24,33,27
T_31,7,6,9,7,7,7,10,8
T_32,21,18,24,21,21,20,27,22
T_33,15,12,17,14,15,14,19,15
T_34,21,25,35,30,30,29,39,31
T_35,21,12,24,21,21,20,27,22
T_36,20,17,16,20,20,19,26,21
T_37,16,14,19,11,17,16,21,17
T_38,24,20,28,23,17,23,31,25
T_39,28,24,33,28,29,19,37,30
T_40,29,25,34,29,29,28,27,31
T_41,23,19,27,23,23,22,30,17
T_42,15,13,18,15,16,15,20,16
T_43,14,12,16,14,14,13,18,14
T_44,29,25,34,29,29,28,38,31
T_45,23,19,27,23,23,22,30,24
T_46,29,25,34,29,29,28,38,31
T_47,30,25,35,30,30,29,39,31
T_48,28,24,33,28,29,27,37,30
T_49,30,25,35,30,30,29,39,31
T_50,21,18,24,21,21,20,27,22
T_51,8,9,13,11,11,10,14,11
T_52,28,17,33,28,29,27,37,30
T_53,33,28,27,33,33,31,43,34
T_54,34,29,39,23,34,32,44,35
T_55,8,7,10,8,6,8,11,9
T_56,35,29,40,34,35,23,45,36
T_57,8,7,10,8,8,8,8,9
T_58,21,18,24,21,21,20,27,15
T_59,26,22,31,26,27,25,35,28
T_60,27,23,32,27,28,26,36,29
T_61,7,6,9,7,7,7,10,8
T_62,14,12,16,14,14,13,18,14
T_63,13,11,15,13,13,12,17,13
T_64,25,22,30,25,26,24,33,27
T_65,32,27,37,32,32,31,42,33
T_66,33,28,38,33,33,31,43,34
T_67,35,30,42,35,36,34,47,37
T_68,16,19,27,23,23,22,30,24
T_69,28,17,33,28,29,27,37,30
T_70,9,8,7,9,9,9,12,10
T_71,27,23,32,19,28,26,36,29
T_72,32,27,37,32,23,31,42,33
T_73,24,20,28,23,24,16,31,25
T_74,19,16,22,19,19,18,18,20
T_75,15,13,18,15,16,15,20,11
T_76,25,21,29,24,25,24,32,26
T_77,14,12,16,14,14,13,18,14
T_78,20,17,23,20,20,19,26,21
T_79,13,11,15,13,13,12,17,13
T_80,33,28,38,33,33,31,43,34
T_81,33,28,38,33,33,31,43,34
T_82,25,22,30,25,26,24,33,27
T_83,10,8,12,10,10,10,13,10
T_84,8,7,10,8,8,8,11,9
T_85,12,15,20,17,18,17,23,18
T_86,21,12,24,21,21,20,27,22
T_87,23,19,19,23,23,22,30,24
T_88,31,26,36,22,31,30,41,32
T_89,24,20,28,23,17,23,31,25
T_90,36,31,43,36,37,24,48,38
T_91,28,24,33,28,29,27,26,30
T_92,14,12,16,14,14,13,18,10
T_93,20,17,23,20,20,19,26,21
T_94,26,22,31,26,27,25,35,28
T_95,24,20,28,23,24,23,31,25
T_96,32,27,37,32,32,31,42,33
T_97,32,27,37,32,32,31,42,33
T_98,17,15,20,17,18,17,23,18
T_99,17,15,20,17,18,17,23,18
T_100,7,6,9,7,7,7,10,8
T_101,35,30,42,35,36,34,47,37
T_102,22,26,36,31,31,30,41,32
T_103,30,18,35,30,30,29,39,31
T_104,17,15,14,17,18,17,23,18
T_105,12,10,14,8,12,11,16,12
T_106,19,16,22,19,14,18,25,20
T_107,26,22,31,26,27,18,35,28
T_108,7,6,9,7,7,7,7,8
T_109,14,12,16,14,14,13,18,10
T_110,36,31,43,36,37,35,48,38
T_111,24,20,28,23,24,23,31,25
T_112,26,22,31,26,27,25,35,28
T_113,8,7,10,8,8,8,11,9
T_114,32,27,37,32,32,31,42,33
T_115,18,15,21,18,18,17,24,19
T_116,14,12,16,14,14,13,18,14
T_117,35,29,40,34,35,33,45,36
T_118,20,17,23,20,20,19,26,21
T_119,25,30,42,35,36,34,47,37
T_120,15,9,18,15,16,15,20,16
T_121,12,10,10,12,12,11,16,12
T_122,22,19,26,15,22,21,29,23
T_123,28,24,33,28,20,27,37,30
T_124,34,29,39,33,34,23,44,35
T_125,17,15,20,17,18,17,16,18
T_126,7,6,9,7,7,7,10,5
T_127,11,9,13,11,11,10,14,11
T_128,22,19,26,22,22,21,29,23
T_129,15,12,17,14,15,14,19,15
T_130,19,16,22,19,19,18,25,20
T_131,27,23,32,27,28,26,36,29
T_132,16,14,19,16,17,16,21,17
T_133,13,11,15,13,13,12,17,13
T_134,19,16,22,19,19,18,25,20
T_135,15,12,17,14,15,14,19,15
T_136,13,16,22,19,19,18,25,20
T_137,7,4,9,7,7,7,10,8
T_138,35,30,29,35,36,34,47,37
T_139,10,8,12,7,10,10,13,10
T_140,10,8,12,10,7,10,13,10
T_141,17,15,20,17,18,12,23,18
T_142,19,16,22,19,19,18,18,20
T_143,27,23,32,27,28,26,36,20
T_144,33,28,38,33,33,31,43,34
T_145,36,31,43,36,37,35,48,38
T_146,29,25,34,29,29,28,38,31
T_147,19,16,22,19,19,18,25,20
T_148,15,12,17,14,15,14,19,15
T_149,26,22,31,26,27,25,35,28
T_150,9,8,11,9,9,9,12,10
T_151,34,29,39,33,34,32,44,35
T_152,21,18,24,21,21,20,27,22
T_153,16,19,27,23,23,22,30,24
T_154,17,10,20,17,18,17,23,18
T_155,13,11,10,13,13,12,17,13
T_156,19,16,22,13,19,18,25,20
T_157,32,27,37,32,23,31,42,33
T_158,23,19,27,23,23,15,30,24
T_159,7,6,9,7,7,7,7,8
T_160,15,12,17,14,15,14,19,11
T_161,25,22,30,25,26,24,33,27
T_162,14,12,16,14,14,13,18,14
T_163,10,8,12,10,10,10,13,10
T_164,27,23,32,27,28,26,36,29
T_165,28,24,33,28,29,27,37,30
T_166,24,20,28,23,24,23,31,25
T_167,27,23,32,27,28,26,36,29
T_168,30,25,35,30,30,29,39,31
T_169,32,27,37,32,32,31,42,33
T_170,6,8,11,9,9,9,12,10
T_171,35,21,42,35,36,34,47,37
T_172,20,17,16,20,20,19,26,21
T_173,36,31,43,25,37,35,48,38
T_174,27,23,32,27,19,26,36,29
T_175,20,17,23,20,20,13,26,21
T_176,26,22,31,26,27,25,24,28
T_177,19,16,22,19,19,18,25,14
T_178,28,24,33,28,29,27,37,30
T_179,7,6,9,7,7,7,10,8
T_180,32,27,37,32,32,31,42,33
T_181,23,19,27,23,23,22,30,24
T_182,35,30,42,35,36,34,47,37
T_183,19,16,22,19,19,18,25,20
T_184,9,8,11,9,9,9,12,10
T_185,35,29,40,34,35,33,45,36
T_186,29,25,34,29,29,28,38,31
T_187,10,12,16,14,14,13,18,14
T_188,17,10,20,17,18,17,23,18
T_189,21,18,17,21,21,20,27,22
T_190,32,27,37,22,32,31,42,33
T_191,14,12,16,14,10,13,18,14
T_192,33,28,38,33,33,22,43,34
T_193,33,28,38,33,33,31,30,34
T_194,33,28,38,33,33,31,43,24
T_195,23,19,27,23,23,22,30,24
T_196,8,7,10,8,8,8,11,9
T_197,14,12,16,14,14,13,18,14
T_198,25,21,29,24,25,24,32,26
T_199,25,22,30,25,26,24,33,27
T_200,9,8,11,9,9,9,12,10
T_201,10,8,12,10,10,10,13,10
T_202,10,8,12,10,10,10,13,10
T_203,14,12,16,14,14,13,18,14
T_204,21,25,35,30,30,29,39,31
T_205,24,14,28,23,24,23,31,25
T_206,29,25,24,29,29,28,38,31
T_207,13,11,15,9,13,12,17,13
T_208,18,15,21,18,13,17,24,19
T_209,33,28,38,33,33,22,43,34
T_210,15,12,17,14,15,14,13,15
T_211,26,22,31,26,27,25,35,19
T_212,10,8,12,10,10,10,13,10
T_213,31,26,36,31,31,30,41,32
T_214,28,24,33,28,29,27,37,30
T_215,28,24,33,28,29,27,37,30
T_216,12,10,14,12,12,11,16,12
T_217,22,19,26,22,22,21,29,23
T_218,18,15,21,18,18,17,24,19
T_219,20,17,23,20,20,19,26,21
T_220,31,26,36,31,31,30,41,32
T_221,11,14,19,16,17,16,21,17
T_222,35,21,42,35,36,34,47,37
T_223,22,19,18,22,22,21,29,23
T_224,25,22,30,18,26,24,33,27
T_225,18,15,21,18,13,17,24,19
T_226,31,26,36,31,31,21,41,32
T_227,17,15,20,17,18,17,16,18
T_228,30,25,35,30,30,29,39,22
T_229,26,22,31,26,27,25,35,28
T_230,16,14,19,16,17,16,21,17
T_231,15,13,18,15,16,15,20,16
T_232,21,18,24,21,21,20,27,22
T_233,15,13,18,15,16,15,20,16
T_234,34,29,39,33,34,32,44,35
T_235,7,6,9,7,7,7,10,8
T_236,32,27,37,32,32,31,42,33
T_237,31,26,36,31,31,30,41,32
T_238,6,7,10,8,8,8,11,9
T_239,34,20,39,33,34,32,44,35
T_240,32,27,26,32,32,31,42,33
T_241,7,6,9,5,7,7,10,8
T_242,35,30,42,35,25,34,47,37
T_243,16,14,19,16,17,11,21,17
T_244,19,16,22,19,19,18,18,20
T_245,33,28,38,33,33,31,43,24
T_246,23,19,27,23,23,22,30,24
T_247,24,20,28,23,24,23,31,25
T_248,18,15,21,18,18,17,24,19
T_249,22,19,26,22,22,21,29,23
T_250,26,22,31,26,27,25,35,28
T_251,17,15,20,17,18,17,23,18
T_252,21,18,24,21,21,20,27,22
T_253,28,24,33,28,29,27,37,30
T_254,18,15,21,18,18,17,24,19
T_255,7,8,12,10,10,10,13,10
T_256,9,5,11,9,9,9,12,10
T_257,8,7,7,8,8,8,11,9
T_258,15,12,17,10,15,14,19,15
T_259,28,24,33,28,20,27,37,30
T_260,27,23,32,27,28,18,36,29
T_261,17,15,20,17,18,17,16,18
T_262,35,30,42,35,36,34,47,26
T_263,26,22,31,26,27,25,35,28
T_264,24,20,28,23,24,23,31,25
T_265,29,25,34,29,29,28,38,31
T_266,24,20,28,23,24,23,31,25
T_267,21,18,24,21,21,20,27,22
T_268,10,8,12,10,10,10,13,10
T_269,24,20,28,23,24,23,31,25
T_270,36,31,43,36,37,35,48,38
T_271,27,23,32,27,28,26,36,29
T_272,10,12,17,14,15,14,19,15
T_273,17,10,20,17,18,17,23,18
T_274,26,22,22,26,27,25,35,28
T_275,34,29,39,23,34,32,44,35
T_276,22,19,26,22,15,21,29,23
T_277,19,16,22,19,19,13,25,20
T_278,15,13,18,15,16,15,14,16
T_279,16,14,19,16,17,16,21,12
T_280,27,23,32,27,28,26,36,29
T_281,14,12,16,14,14,13,18,14
T_282,8,7,10,8,8,8,11,9
T_283,14,12,16,14,14,13,18,14
T_284,26,22,31,26,27,25,35,28
T_285,20,17,23,20,20,19,26,21
T_286,25,22,30,25,26,24,33,27
T_287,13,11,15,13,13,12,17,13
T_288,26,22,31,26,27,25,35,28
T_289,22,26,36,31,31,30,41,32
T_290,13,8,15,13,13,12,17,13
T_291,15,12,12,14,15,14,19,15
T_292,28,24,33,20,29,27,37,30
T_293,27,23,32,27,19,26,36,29
T_294,7,6,9,7,7,5,10,8
T_295,22,19,26,22,22,21,20,23
T_296,20,17,23,20,20,19,26,15
T_297,18,15,21,18,18,17,24,19
T_298,13,11,15,13,13,12,17,13
T_299,35,29,40,34,35,33,45,36
T_300,21,18,24,21,21,20,27,22
T_301,20,17,23,20,20,19,26,21
T_302,8,7,10,8,8,8,11,9
T_303,9,8,11,9,9,9,12,10
T_304,7,6,9,7,7,7,10,8
T_305,35,29,40,34,35,33,45,36
T_306,10,12,16,14,14,13,18,14
T_307,8,5,10,8,8,8,11,9
T_308,21,18,17,21,21,20,27,22
T_309,34,29,39,23,34,32,44,35
T_310,29,25,34,29,21,28,38,31
T_311,18,15,21,18,18,12,24,19
T_312,10,8,12,10,10,10,9,10
T_313,25,22,30,25,26,24,33,19
T_314,29,25,34,29,29,28,38,31
T_315,29,25,34,29,29,28,38,31
T_316,15,12,17,14,15,14,19,15
T_317,17,15,20,17,18,17,23,18
T_318,27,23,32,27,28,26,36,29
T_319,12,10,14,12,12,11,16,12
T_320,9,8,11,9,9,9,12,10
T_321,23,19,27,23,23,22,30,24
T_322,25,22,30,25,26,24,33,27
T_323,25,31,43,36,37,35,48,38
T_324,32,19,37,32,32,31,42,33
T_325,19,16,16,19,19,18,25,20
T_326,24,20,28,16,24,23,31,25
T_327,29,25,34,29,21,28,38,31
T_328,15,13,18,15,16,10,20,16
T_329,11,9,13,11,11,10,10,11
T_330,15,13,18,15,16,15,20,11
T_331,16,14,19,16,17,16,21,17
T_332,7,6,9,7,7,7,10,8
T_333,30,25,35,30,30,29,39,31
T_334,25,22,30,25,26,24,33,27
T_335,12,10,14,12,12,11,16,12
T_336,12,10,14,12,12,11,16,12
T_337,24,20,28,23,24,23,31,25
T_338,32,27,37,32,32,31,42,33
T_339,26,22,31,26,27,25,35,28
T_340,18,22,30,25,26,24,33,27
T_341,7,4,9,7,7,7,10,8
T_342,12,10,10,12,12,11,16,12
