TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31
T_0,13,13,13,20,18,15,19,15,20,20,26,25,19,19,20,16,24,23,32,27,27,33,28,33,34,21,22,31,22,25,24,28
T_1,23,11,16,25,22,18,24,19,17,18,22,22,16,16,17,14,8,11,7,9,9,11,9,11,11,7,7,10,7,8,8,9
T_2,31,22,15,34,30,25,33,26,25,25,32,31,23,23,25,20,27,37,35,21,30,37,31,37,37,23,24,34,24,28,27,31
T_3,24,17,17,18,23,19,25,19,37,38,48,47,35,35,37,29,20,27,26,22,15,27,23,27,27,17,18,25,18,20,20,23
T_4,13,9,9,14,9,10,14,11,8,8,10,10,7,7,8,6,11,15,14,12,12,10,13,15,15,9,10,14,10,11,11,12
T_5,42,30,30,46,41,24,44,34,34,34,43,42,31,31,34,26,24,32,30,26,26,32,19,32,32,20,21,29,21,24,23,27
T_6,22,15,15,23,21,17,16,18,20,20,26,25,19,19,20,16,25,34,33,28,28,34,29,24,35,21,23,32,23,26,25,29
T_7,40,29,28,43,39,32,42,23,24,24,31,30,22,22,24,19,10,13,13,11,11,13,12,13,10,8,9,12,9,10,10,11
T_8,15,11,11,16,15,12,16,12,15,22,28,28,20,20,22,17,22,29,28,24,24,29,25,29,30,13,19,27,20,22,22,25
T_9,18,13,13,20,18,15,19,15,23,16,29,29,21,21,23,18,17,23,22,19,19,23,20,23,24,15,11,21,15,17,17,19
T_10,36,25,25,39,34,28,37,29,34,34,30,42,31,31,34,26,29,39,37,33,32,39,33,39,40,25,26,25,26,29,29,33
T_11,18,13,13,20,18,15,19,15,37,38,48,33,35,35,37,29,22,29,28,24,24,29,25,29,30,18,19,27,14,22,22,25
T_12,40,29,28,43,39,32,42,33,38,39,49,48,25,36,38,30,8,11,11,9,9,11,9,11,11,7,7,10,7,6,8,9
T_13,23,16,16,25,22,18,24,19,26,26,33,32,24,17,26,20,16,22,21,18,18,22,19,22,22,14,15,20,15,17,11,18
T_14,25,18,17,27,24,20,26,20,30,30,38,37,28,28,21,23,24,32,30,26,26,32,27,32,32,20,21,29,21,24,23,19
T_15,9,6,6,9,8,7,9,7,37,38,48,47,35,35,37,21,19,26,25,21,21,26,22,26,26,16,17,24,17,19,19,22
T_16,23,16,16,25,22,18,24,19,36,37,47,45,34,34,37,29,10,20,19,16,16,20,17,20,20,12,13,18,13,15,14,16
T_17,14,14,14,21,19,16,20,16,38,39,49,48,36,36,38,30,19,18,25,21,21,26,22,26,26,16,17,24,17,19,19,22
T_18,28,14,20,30,27,22,29,23,9,9,11,11,8,8,9,7,16,22,15,18,18,22,19,22,22,14,15,20,15,17,16,18
T_19,42,30,21,46,41,34,44,34,9,9,11,11,8,8,9,7,10,13,13,8,11,13,12,13,14,8,9,12,9,10,10,11
T_20,9,6,6,7,8,7,9,7,26,26,33,32,24,24,26,20,27,37,35,31,21,37,31,37,37,23,24,34,24,28,27,31
T_21,38,27,27,41,26,30,39,31,11,11,14,13,10,10,11,8,24,33,32,27,27,23,28,33,34,21,22,31,22,25,24,28
T_22,23,16,16,25,22,13,24,19,35,35,44,43,32,32,35,27,23,31,29,25,25,31,18,31,31,19,20,28,20,23,23,26
T_23,27,19,19,29,26,22,20,22,32,32,41,39,29,29,32,25,9,12,12,10,10,12,10,9,12,8,8,11,8,9,9,10
T_24,25,18,17,27,24,20,26,14,12,12,15,14,11,11,12,9,27,37,35,31,30,37,31,37,26,23,24,34,24,28,27,31
T_25,26,19,18,28,25,21,27,21,8,12,15,14,11,11,12,9,24,33,32,27,27,33,28,33,34,14,22,31,22,25,24,28
T_26,38,27,27,41,37,30,39,31,11,8,14,13,10,10,11,8,31,42,40,35,34,42,36,42,42,26,19,38,28,31,31,35
T_27,42,30,30,46,41,34,44,34,18,19,16,23,17,17,18,14,9,12,12,10,10,12,10,12,12,8,8,8,8,9,9,10
T_28,43,31,30,47,42,34,45,35,34,34,43,29,31,31,34,26,16,22,21,18,18,22,19,22,22,14,15,20,10,17,16,18
T_29,29,21,21,32,28,23,30,24,16,17,21,20,11,15,16,13,23,31,29,25,25,31,26,31,31,19,20,28,20,16,23,26
T_30,33,24,24,36,32,27,35,27,30,30,38,37,28,19,30,23,11,15,14,12,12,15,13,15,15,9,10,14,10,11,8,12
T_31,42,30,30,46,41,34,44,34,25,25,32,31,23,23,17,20,33,44,42,37,36,44,38,44,45,28,29,41,29,33,32,26
T_32,41,29,29,44,40,33,43,34,26,26,33,32,24,24,26,14,14,20,19,16,16,20,17,20,20,12,13,18,13,15,14,16
T_33,43,31,30,47,42,34,45,35,9,9,11,11,8,8,9,7,11,21,20,17,17,21,18,21,21,13,14,19,14,16,15,17
T_34,7,7,7,11,9,8,10,8,29,29,37,36,27,27,29,23,18,17,23,20,20,24,21,24,25,15,16,23,16,18,18,21
T_35,10,5,7,11,9,8,10,8,21,21,27,26,20,20,21,17,9,12,8,10,10,12,10,12,12,8,8,11,8,9,9,10
T_36,29,21,14,32,28,23,30,24,12,12,15,14,11,11,12,9,12,16,15,9,13,16,14,16,16,10,11,15,11,12,12,13
T_37,12,8,8,9,11,9,12,10,25,25,32,31,23,23,25,20,16,22,21,18,13,22,19,22,22,14,15,20,15,17,16,18
T_38,39,28,27,42,26,31,41,32,27,27,34,33,25,25,27,21,13,17,16,14,14,12,15,17,17,11,11,16,11,13,13,14
T_39,36,25,25,39,34,20,37,29,11,11,14,13,10,10,11,8,20,27,26,22,22,27,16,27,27,17,18,25,18,20,20,23
T_40,13,9,9,14,13,10,9,11,23,23,29,29,21,21,23,18,26,36,34,30,29,35,30,25,36,22,23,33,24,27,26,30
T_41,13,9,9,14,13,10,14,7,18,19,23,23,17,17,18,14,25,34,33,28,28,34,29,34,24,21,23,32,23,26,25,29
T_42,12,8,8,13,11,9,12,10,22,31,39,38,28,28,31,24,33,44,42,37,36,44,38,44,45,19,29,41,29,33,32,37
T_43,20,15,14,22,20,16,21,17,23,16,29,29,21,21,23,18,12,16,15,13,13,16,14,16,16,10,7,15,11,12,12,13
T_44,38,27,27,41,37,30,39,31,9,9,8,11,8,8,9,7,26,36,34,30,29,35,30,35,36,22,23,23,24,27,26,30
