TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,2.67,2.86,2.72,2.35,2.24,2.72,2.48,2.48
T_1,2.35,2.64,2.96,2.43,2.39,2.73,2.29,2.45
T_2,2.39,2.91,2.67,2.20,2.47,2.39,2.31,2.49
T_3,2.51,2.96,2.93,2.38,2.32,2.38,2.48,2.41
T_4,2.46,2.63,2.58,2.26,2.48,2.50,2.45,2.40
T_5,2.42,2.68,2.67,2.37,2.31,2.71,2.32,2.42
T_6,2.28,2.86,2.79,2.15,2.31,2.70,2.17,2.55
T_7,2.18,2.85,2.76,2.31,2.66,2.37,2.13,2.90
T_8,2.39,2.88,3.05,2.25,2.49,2.26,2.33,2.61
T_9,2.26,2.61,2.68,2.29,2.61,2.51,2.30,2.24
T_10,2.46,2.74,2.81,2.64,2.33,2.48,2.56,2.54
T_11,2.37,2.72,2.84,2.31,2.44,2.53,2.77,2.60
T_12,2.22,3.00,2.80,2.48,2.37,2.75,2.54,2.65
T_13,2.38,2.78,2.99,2.43,2.54,2.47,2.22,2.44
T_14,2.44,2.72,2.73,2.04,2.42,2.69,2.25,2.29
T_15,2.36,2.66,2.74,2.33,2.62,2.52,2.05,2.65
T_16,2.22,2.80,2.67,2.43,2.41,2.62,2.34,2.46
T_17,2.49,2.98,2.95,2.04,2.33,2.67,2.33,2.80
T_18,2.39,2.56,2.86,2.15,2.24,2.53,2.44,2.35
T_19,2.46,2.81,2.86,2.79,2.30,2.32,2.15,2.82
T_20,2.44,2.87,2.85,2.29,2.49,2.40,2.34,2.34
T_21,2.20,3.10,2.65,2.21,2.43,2.52,2.29,2.81
T_22,2.26,2.90,2.89,2.28,2.39,2.45,2.44,2.56
T_23,2.43,3.00,2.87,2.15,2.50,2.35,2.08,2.67
T_24,2.08,2.80,3.03,2.29,2.56,2.46,2.49,2.74
T_25,2.45,2.59,2.88,2.31,2.22,2.39,2.30,2.70
T_26,2.21,2.58,2.70,2.23,2.34,2.65,2.28,2.58
T_27,2.27,2.69,2.77,2.49,2.20,2.64,2.11,2.66
T_28,2.55,2.82,3.09,2.53,2.40,2.17,2.26,2.36
T_29,2.33,2.75,2.64,2.43,2.37,2.62,2.33,2.52
T_30,2.29,2.73,2.62,2.16,2.40,2.43,2.25,2.35
T_31,2.38,3.07,2.86,2.20,2.19,2.51,2.32,2.53
T_32,2.32,2.43,3.03,2.07,2.31,2.74,2.11,2.57
T_33,2.24,2.64,2.83,2.33,2.13,2.56,2.29,2.52
T_34,2.49,3.16,2.65,2.20,2.46,2.50,2.15,2.70
T_35,2.66,2.84,3.14,2.19,2.30,2.42,2.00,2.66
T_36,2.47,2.70,2.71,2.17,2.28,2.56,2.08,2.63
T_37,2.40,2.63,2.94,2.31,2.41,2.63,2.24,2.68
T_38,2.37,2.92,3.03,2.30,2.59,2.67,2.34,2.76
T_39,2.46,2.90,2.83,2.10,2.29,2.60,2.30,2.42
T_40,2.43,2.92,2.91,2.50,2.37,2.83,2.61,2.48
T_41,2.21,2.60,3.04,2.30,2.41,2.53,2.34,2.67
T_42,2.41,2.82,2.63,2.07,2.32,2.81,2.30,2.39
T_43,2.34,2.76,2.94,2.40,2.23,2.56,2.21,2.46
T_44,2.59,2.86,3.00,2.15,2.27,2.80,2.37,2.30
T_45,2.30,2.55,3.01,2.55,2.47,2.79,2.28,2.35
T_46,2.52,2.89,2.76,2.48,2.39,2.44,2.01,2.74
T_47,2.16,3.03,2.89,2.36,2.20,2.53,2.28,2.49
T_48,2.38,2.59,2.74,2.63,2.29,2.53,2.29,2.24
T_49,2.23,2.93,2.73,2.14,2.46,2.66,2.27,2.57
T_50,2.20,3.05,2.68,2.32,2.36,2.43,2.71,2.47
T_51,2.57,2.93,2.91,2.24,2.25,2.39,2.39,2.24
T_52,2.19,2.79,2.85,2.14,2.19,3.00,2.42,2.41
T_53,2.32,2.82,2.99,2.08,2.39,2.67,2.39,2.48
T_54,2.23,2.58,2.47,2.44,2.60,2.73,2.22,2.56
T_55,2.40,2.83,2.69,2.24,2.45,2.59,2.33,2.43
T_56,2.38,2.51,2.87,2.13,2.24,2.74,2.33,2.69
T_57,2.01,2.67,3.08,2.20,2.23,2.67,2.34,2.49
T_58,2.44,2.67,2.72,2.74,2.50,2.61,2.18,3.00
T_59,2.24,2.58,2.56,2.28,2.07,2.53,2.34,2.67
T_60,2.64,3.03,2.74,2.17,2.28,2.52,2.24,2.75
T_61,2.47,2.52,2.81,2.24,2.34,2.77,2.11,2.72
T_62,2.48,3.07,2.94,2.45,2.26,2.46,2.14,2.34
T_63,1.98,2.47,2.99,2.26,2.65,2.66,2.23,2.72
T_64,2.60,2.94,2.93,2.25,2.38,2.58,2.28,2.93
T_65,2.35,2.83,2.81,2.26,2.38,2.53,2.09,2.79
T_66,2.14,2.55,3.13,2.19,2.50,2.69,2.05,2.58
T_67,2.39,2.72,2.72,2.23,2.35,2.50,2.14,2.37
T_68,2.65,2.64,2.82,2.48,2.11,2.25,2.21,2.70
T_69,2.10,2.65,2.91,2.24,2.39,2.69,2.52,2.46
T_70,2.50,2.93,2.75,2.26,2.28,2.58,2.36,2.57
T_71,2.29,2.49,2.66,1.84,2.27,2.61,1.95,2.67
T_72,2.26,2.51,2.92,2.38,2.65,2.72,2.21,2.70
T_73,2.28,2.97,2.69,2.46,2.23,2.67,2.31,2.41
T_74,2.22,2.86,2.80,2.17,2.36,2.75,2.45,2.67
T_75,2.37,2.67,2.67,2.34,2.36,2.52,2.27,2.73
T_76,2.38,2.76,3.16,2.11,2.40,2.88,2.56,2.49
T_77,2.49,2.90,2.95,2.32,2.65,2.37,2.18,2.48
T_78,2.54,2.86,2.73,2.33,2.23,2.55,2.60,2.59
T_79,2.29,2.78,2.94,1.94,2.35,2.50,2.24,2.79
T_80,2.50,2.71,2.67,2.43,2.51,2.36,2.28,2.47
T_81,2.17,2.96,2.89,2.47,2.36,2.40,2.35,2.67
T_82,2.43,3.02,2.59,2.25,2.25,2.54,2.21,2.41
T_83,2.18,2.87,2.94,2.11,2.29,2.28,2.13,2.45
T_84,2.26,3.25,2.81,2.27,2.52,2.53,2.36,2.52
T_85,2.54,2.83,2.63,2.25,2.17,2.64,2.33,2.51
T_86,2.23,2.83,2.89,2.41,2.60,2.37,2.53,2.51
T_87,2.41,3.03,2.96,2.26,2.62,2.41,2.43,2.41
T_88,2.13,2.84,2.89,2.25,2.37,2.31,2.20,2.43
T_89,2.23,2.71,2.86,2.42,2.53,2.46,2.38,2.46
T_90,2.42,2.75,2.64,2.37,2.43,2.63,2.17,2.62
T_91,2.56,2.87,2.95,2.29,2.31,2.40,2.16,2.58
T_92,2.17,2.54,2.51,2.17,2.41,2.42,2.25,2.77
T_93,2.57,2.69,2.75,2.16,2.06,2.55,2.20,2.70
T_94,2.38,2.63,3.12,2.17,2.12,2.58,2.18,2.51
T_95,2.67,2.47,2.63,2.15,2.23,2.35,2.43,2.43
T_96,2.29,2.97,2.57,2.22,2.26,2.45,2.28,2.41
T_97,2.26,2.75,2.69,2.45,2.43,2.42,2.14,2.77
T_98,2.39,2.67,2.89,2.22,2.39,2.29,2.21,2.66
T_99,2.18,2.86,2.82,2.24,2.47,2.52,2.32,2.75
T_100,2.36,2.61,2.98,1.97,2.36,2.59,1.97,2.70
T_101,2.33,2.94,2.84,2.43,2.36,2.56,2.35,2.51
T_102,2.65,3.01,2.67,2.22,2.42,2.40,2.31,2.60
T_103,2.39,2.58,2.96,2.37,2.24,2.69,2.35,2.55
T_104,2.15,2.98,2.75,2.35,2.23,2.65,2.48,2.86
T_105,2.15,2.83,2.93,2.18,2.27,2.42,2.47,2.61
T_106,2.20,2.97,3.03,2.35,2.28,2.48,2.21,2.76
T_107,2.04,2.83,2.90,2.05,2.28,2.78,2.45,2.55
T_108,2.02,2.67,3.02,2.17,2.32,2.45,2.43,2.73
T_109,2.65,2.56,2.65,2.50,2.21,2.70,2.10,2.69
T_110,2.22,2.63,2.77,2.14,2.23,2.75,2.28,2.44
T_111,2.53,2.72,2.86,2.34,2.27,2.52,2.26,2.73
